Theme,Keyword,State,Value
Need help,apply food stamps,Alabama,11.0
Need help,apply food stamps,Alaska,2.142857142857143
Need help,apply food stamps,Arizona,4.571428571428571
Need help,apply food stamps,Arkansas,8.0
Need help,apply food stamps,California,2.0
Need help,apply food stamps,Colorado,2.375
Need help,apply food stamps,Connecticut,6.8
Need help,apply food stamps,Delaware,4.428571428571429
Need help,apply food stamps,District of Columbia,2.25
Need help,apply food stamps,Florida,12.0
Need help,apply food stamps,Georgia,9.0
Need help,apply food stamps,Hawaii,1.1333333333333333
Need help,apply food stamps,Idaho,2.3636363636363638
Need help,apply food stamps,Illinois,2.857142857142857
Need help,apply food stamps,Indiana,5.0
Need help,apply food stamps,Iowa,6.0
Need help,apply food stamps,Kansas,7.0
Need help,apply food stamps,Kentucky,5.0
Need help,apply food stamps,Louisiana,11.0
Need help,apply food stamps,Maine,2.0
Need help,apply food stamps,Maryland,5.166666666666667
Need help,apply food stamps,Massachusetts,2.625
Need help,apply food stamps,Michigan,4.0
Need help,apply food stamps,Minnesota,2.3333333333333335
Need help,apply food stamps,Mississippi,7.8
Need help,apply food stamps,Missouri,6.2
Need help,apply food stamps,Montana,4.333333333333333
Need help,apply food stamps,Nebraska,2.5714285714285716
Need help,apply food stamps,Nevada,5.6
Need help,apply food stamps,New Hampshire,2.4
Need help,apply food stamps,New Jersey,3.857142857142857
Need help,apply food stamps,New Mexico,3.5
Need help,apply food stamps,New York,5.4
Need help,apply food stamps,North Carolina,6.0
Need help,apply food stamps,North Dakota,19.0
Need help,apply food stamps,Ohio,5.4
Need help,apply food stamps,Oklahoma,4.833333333333333
Need help,apply food stamps,Oregon,2.6666666666666665
Need help,apply food stamps,Pennsylvania,4.5
Need help,apply food stamps,Rhode Island,2.5555555555555554
Need help,apply food stamps,South Carolina,7.2
Need help,apply food stamps,South Dakota,2.4285714285714284
Need help,apply food stamps,Tennessee,10.0
Need help,apply food stamps,Texas,5.333333333333333
Need help,apply food stamps,Utah,2.2857142857142856
Need help,apply food stamps,Vermont,1.5555555555555556
Need help,apply food stamps,Virginia,4.166666666666667
Need help,apply food stamps,Washington,2.6
Need help,apply food stamps,West Virginia,4.166666666666667
Need help,apply food stamps,Wisconsin,4.25
Need help,apply food stamps,Wyoming,16.0
Need help,homeless help,Alabama,3.75
Need help,homeless help,Alaska,1.7142857142857142
Need help,homeless help,Arizona,2.5714285714285716
Need help,homeless help,Arkansas,3.75
Need help,homeless help,California,2.0
Need help,homeless help,Colorado,2.125
Need help,homeless help,Connecticut,2.8
Need help,homeless help,Delaware,2.2857142857142856
Need help,homeless help,District of Columbia,2.125
Need help,homeless help,Florida,5.0
Need help,homeless help,Georgia,4.25
Need help,homeless help,Hawaii,1.2
Need help,homeless help,Idaho,1.1818181818181819
Need help,homeless help,Illinois,2.5714285714285716
Need help,homeless help,Indiana,2.5
Need help,homeless help,Iowa,2.4
Need help,homeless help,Kansas,3.75
Need help,homeless help,Kentucky,3.8
Need help,homeless help,Louisiana,3.5
Need help,homeless help,Maine,2.0
Need help,homeless help,Maryland,2.3333333333333335
Need help,homeless help,Massachusetts,1.875
Need help,homeless help,Michigan,2.8333333333333335
Need help,homeless help,Minnesota,3.1666666666666665
Need help,homeless help,Mississippi,3.4
Need help,homeless help,Missouri,3.6
Need help,homeless help,Montana,12.666666666666666
Need help,homeless help,Nebraska,2.2857142857142856
Need help,homeless help,Nevada,3.8
Need help,homeless help,New Hampshire,3.8
Need help,homeless help,New Jersey,2.4285714285714284
Need help,homeless help,New Mexico,3.1666666666666665
Need help,homeless help,New York,2.4
Need help,homeless help,North Carolina,2.5
Need help,homeless help,North Dakota,21.0
Need help,homeless help,Ohio,2.8
Need help,homeless help,Oklahoma,2.8333333333333335
Need help,homeless help,Oregon,2.0
Need help,homeless help,Pennsylvania,3.0
Need help,homeless help,Rhode Island,2.0
Need help,homeless help,South Carolina,3.0
Need help,homeless help,South Dakota,1.8571428571428572
Need help,homeless help,Tennessee,4.25
Need help,homeless help,Texas,2.5
Need help,homeless help,Utah,2.0
Need help,homeless help,Vermont,1.7777777777777777
Need help,homeless help,Virginia,2.8333333333333335
Need help,homeless help,Washington,1.7
Need help,homeless help,West Virginia,2.8333333333333335
Need help,homeless help,Wisconsin,4.25
Need help,homeless help,Wyoming,19.0
Need help,Homeless shelter,Alabama,9.25
Need help,Homeless shelter,Alaska,9.428571428571429
Need help,Homeless shelter,Arizona,6.142857142857143
Need help,Homeless shelter,Arkansas,12.25
Need help,Homeless shelter,California,6.111111111111111
Need help,Homeless shelter,Colorado,7.0
Need help,Homeless shelter,Connecticut,9.4
Need help,Homeless shelter,Delaware,6.571428571428571
Need help,Homeless shelter,District of Columbia,7.125
Need help,Homeless shelter,Florida,15.333333333333334
Need help,Homeless shelter,Georgia,10.75
Need help,Homeless shelter,Hawaii,3.3333333333333335
Need help,Homeless shelter,Idaho,4.545454545454546
Need help,Homeless shelter,Illinois,7.857142857142857
Need help,Homeless shelter,Indiana,8.166666666666666
Need help,Homeless shelter,Iowa,10.6
Need help,Homeless shelter,Kansas,13.25
Need help,Homeless shelter,Kentucky,10.2
Need help,Homeless shelter,Louisiana,9.5
Need help,Homeless shelter,Maine,15.0
Need help,Homeless shelter,Maryland,8.166666666666666
Need help,Homeless shelter,Massachusetts,7.0
Need help,Homeless shelter,Michigan,8.833333333333334
Need help,Homeless shelter,Minnesota,10.166666666666666
Need help,Homeless shelter,Mississippi,7.8
Need help,Homeless shelter,Missouri,9.2
Need help,Homeless shelter,Montana,15.333333333333334
Need help,Homeless shelter,Nebraska,8.428571428571429
Need help,Homeless shelter,Nevada,9.6
Need help,Homeless shelter,New Hampshire,12.8
Need help,Homeless shelter,New Jersey,7.0
Need help,Homeless shelter,New Mexico,9.0
Need help,Homeless shelter,New York,11.2
Need help,Homeless shelter,North Carolina,7.166666666666667
Need help,Homeless shelter,North Dakota,60.0
Need help,Homeless shelter,Ohio,10.8
Need help,Homeless shelter,Oklahoma,8.0
Need help,Homeless shelter,Oregon,5.444444444444445
Need help,Homeless shelter,Pennsylvania,8.166666666666666
Need help,Homeless shelter,Rhode Island,5.555555555555555
Need help,Homeless shelter,South Carolina,8.8
Need help,Homeless shelter,South Dakota,9.0
Need help,Homeless shelter,Tennessee,9.75
Need help,Homeless shelter,Texas,7.833333333333333
Need help,Homeless shelter,Utah,9.0
Need help,Homeless shelter,Vermont,6.777777777777778
Need help,Homeless shelter,Virginia,8.666666666666666
Need help,Homeless shelter,Washington,4.7
Need help,Homeless shelter,West Virginia,8.666666666666666
Need help,Homeless shelter,Wisconsin,15.5
Need help,Homeless shelter,Wyoming,65.0
Need help,what is homelessness,Alabama,1.0
Need help,what is homelessness,Alaska,1.0
Need help,what is homelessness,Arizona,1.0
Need help,what is homelessness,Arkansas,1.0
Need help,what is homelessness,California,1.0
Need help,what is homelessness,Colorado,1.0
Need help,what is homelessness,Connecticut,1.0
Need help,what is homelessness,Delaware,1.0
Need help,what is homelessness,District of Columbia,1.0
Need help,what is homelessness,Florida,1.0
Need help,what is homelessness,Georgia,1.0
Need help,what is homelessness,Hawaii,1.0
